Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Pins,MF,Price,Check_prices,SnapEDA_Link,MP,Purchase-URL,Availability,MANUFACTURER,OC_FARNELL,SUPPLIER,OC_NEWARK
"C1, C2, C3, C6",4,4.7uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,,,,,,,,,,,
C4,1,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,,,,,,,,,,,
"C5, C7",2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,,,,,,,,,,,
"CHG1, PWR1",2,SZYY0603Y,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,Light emitting diode,SMD_2terminal_chip_molded,1=K 2=A,,,,,,,,,,,
D1,1,MBR120LSF,D_SMA_Handsoldering,,,,smt,Schottky diode,,,,,,,,,,,,,
D2,1,IR,LED_D5.0mm,,,,tht,Light emitting diode,LED/THT,1=K 2=A,,,,,,,,,,,
J1,1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,,,smt,USB 2.0-only 16P Type-C Receptacle connector,,,,,,,,,,,,,
J2,1,S2B-PH-SM4-TB,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,None,,,tht,"Connector Header Surface Mount, Right Angle 2 position 0.079 (2.00mm)",connector/JST,,JST Sales,None,https://www.snapeda.com/parts/S2B-PH-SM4-TB/JST/view-part/?ref=eda,https://www.snapeda.com/parts/S2B-PH-SM4-TB/JST/view-part/?ref=snap,S2B-PH-SM4-TB,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=225866&manufacturer=JST Sales&part_name=S2B-PH-SM4-TB&search_term=s2b-ph-sm4-tb,In Stock,JST,,,
J3,1,polarity_ctrl,PinHeader_2x03_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,,,,,,,,,
J4,1,OLED,PinSocket_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,,,,,,,,,,,
J5,1,Gesture,PinSocket_1x05_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x05, script generated",connector/pin_header_socket,,,,,,,,,,,,
Q3,1,AO3401,SOT-23,,,,smt,"-0.18A Id, -60V Vds, P-Channel MOSFET, SOT-23",package/gullwing,,,,,,,,,,,,
"R1, R2",2,5.1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT,,,,,,,,,,,,
R10,1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,
"R11, R4, R5",3,2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,
"R3, R6",2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,
R7,1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,
"R8, R9",2,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,,,,,,
SW1,1,Del,SW_PUSH_6mm_H13mm,,,,tht,"Push button switch, generic, two pins",,,,,,,,,,,,,
SW3,1,K3-1296S-E1_C128955,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,,,,tht,"Switch slide, single pole double throw",,,,,,,,,,,,,
U1,1,TSOP1838,TSOP1838,None,,,tht,IR Remote Receiver 38KHz 35m 3-Pin,,,Vishay,None,https://www.snapeda.com/parts/TSOP1838/Vishay/view-part/?ref=eda,https://www.snapeda.com/parts/TSOP1838/Vishay/view-part/?ref=snap,TSOP1838,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=561684&manufacturer=Vishay&part_name=TSOP1838&search_term=None,In Stock,,,,
U2,1,MCP73831T-2ACI_OT,SOT-23-5_HandSoldering,SOT-5,MCP73831T-2ACI/OT,,smt,"TINY INTEGRATED LI-ION/LI-POLY CHARGE MGNT CONTROLLER, 4.2V VREG | Microchip Technology Inc. MCP73831T-2ACI/OT",,,Microchip,None,https://www.snapeda.com/parts/MCP73831T-2ACI/OT/Microchip+Technology/view-part/?ref=eda,https://www.snapeda.com/parts/MCP73831T-2ACI/OT/Microchip+Technology/view-part/?ref=snap,MCP73831T-2ACI/OT,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=53208&manufacturer=Microchip&part_name=MCP73831T-2ACI/OT&search_term=None,In Stock,,1332158,Microchip,56K7045
U4,1,MIC5219-3.3YM5,SOT-23-5_HandSoldering,,,,smt,"500mA low dropout linear regulator, fixed 3.3V output, SOT-23-5",,,,,,,,,,,,,
U6,1,~,ESP32 DevKit,,,,smt,,,,,,,,,,,,,,
