pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
150.5,-145.3,90.0,top,C1,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.7uF,smt
144.0,-138.2,90.0,top,C2,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.7uF,smt
133.7,-142.1,0.0,top,C3,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.7uF,smt
138.2,-142.0,0.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2.2uF,smt
122.1,-143.3,90.0,top,C5,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
125.0,-143.3,90.0,top,C6,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.7uF,smt
125.2,-138.6,180.0,top,C7,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
150.5,-157.4,90.0,top,CHG1,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,SZYY0603Y,smt
136.0,-146.5,0.0,top,D1,,,D_SMA_Handsoldering,MBR120LSF,smt
137.295,-33.4,180.0,top,D2,,,LED_D5.0mm,IR,tht
136.025,-156.3,0.0,top,J1,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_16P,smt
148.7,-139.65,90.0,top,J2,,None,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,S2B-PH-SM4-TB,tht
144.975,-130.29,0.0,bottom,J3,,,PinHeader_2x03_P2.54mm_Vertical,polarity_ctrl,tht
139.76,-53.15,90.0,bottom,J4,,,PinSocket_1x04_P2.54mm_Vertical,OLED,tht
147.05,-38.34,180.0,bottom,J5,,,PinSocket_1x05_P2.54mm_Vertical,Gesture,tht
147.2,-157.4,90.0,top,PWR1,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,SZYY0603Y,smt
139.3,-137.9,0.0,top,Q3,,,SOT-23,AO3401,smt
128.957147,-158.460404,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5.1k,tht
128.45,-99.2,180.0,top,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
147.2,-153.6,90.0,top,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2K,smt
143.048118,-158.460405,90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5.1k,tht
150.5,-149.8,90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
150.5,-153.6,-90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2K,smt
147.2,-149.6,90.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2K,smt
128.7,-147.3,180.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
136.0,-38.95,0.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
133.8875,-138.55,180.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
129.8875,-138.55,180.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
139.25,-125.0,180.0,bottom,SW1,,,SW_PUSH_6mm_H13mm,Del,tht
123.15,-132.01,90.0,bottom,SW3,,,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,K3-1296S-E1_C128955,tht
123.35,-154.75,-90.0,top,U1,,None,TSOP1838,TSOP1838,tht
143.0,-146.2,90.0,top,U2,MCP73831T-2ACI/OT,SOT-5,SOT-23-5_HandSoldering,MCP73831T-2ACI_OT,smt
128.7,-143.3,90.0,top,U4,,,SOT-23-5_HandSoldering,MIC5219-3.3YM5,smt
135.25,-100.205,180.0,bottom,U6,,,ESP32 DevKit,~,smt
